nominal	data	curs	cdx
1	2000.03.21	28,3900	Доллар США
1	2000.03.22	28,3800	Доллар США
1	2000.03.23	28,3600	Доллар США
1	2000.03.24	28,3400	Доллар США
1	2000.03.25	28,3300	Доллар США
1	2000.03.28	28,3100	Доллар США
1	2000.03.29	28,2900	Доллар США
1	2000.03.30	28,2700	Доллар США
1	2000.03.31	28,4600	Доллар США
1	2000.04.01	28,6000	Доллар США
1	2000.04.04	28,7800	Доллар США
1	2000.04.05	28,7600	Доллар США
1	2000.04.06	28,7200	Доллар США
1	2000.04.07	28,6800	Доллар США
1	2000.04.08	28,6600	Доллар США
1	2000.04.11	28,6300	Доллар США
1	2000.04.12	28,5900	Доллар США
1	2000.04.13	28,5600	Доллар США
1	2000.04.14	28,5300	Доллар США
1	2000.04.15	28,5000	Доллар США
1	2000.04.18	28,6000	Доллар США
1	2000.04.19	28,7800	Доллар США
1	2000.04.20	28,6200	Доллар США
1	2000.04.21	28,5900	Доллар США
1	2000.04.22	28,5500	Доллар США
1	2000.04.25	28,5300	Доллар США
1	2000.04.26	28,5300	Доллар США
1	2000.04.27	28,4600	Доллар США
1	2000.04.28	28,4300	Доллар США
1	2000.04.29	28,4000	Доллар США
1	2000.05.04	28,3800	Доллар США
1	2000.05.05	28,3600	Доллар США
1	2000.05.06	28,3600	Доллар США
1	2000.05.07	28,3600	Доллар США
1	2000.05.11	28,3400	Доллар США
1	2000.05.12	28,3200	Доллар США
1	2000.05.13	28,3000	Доллар США
1	2000.05.16	28,2800	Доллар США
1	2000.05.17	28,2700	Доллар США
1	2000.05.18	28,2700	Доллар США
1	2000.05.19	28,3300	Доллар США
1	2000.05.20	28,3100	Доллар США
1	2000.05.23	28,3000	Доллар США
1	2000.05.24	28,2900	Доллар США
1	2000.05.25	28,2800	Доллар США
1	2000.05.26	28,2800	Доллар США
1	2000.05.27	28,2700	Доллар США
1	2000.05.30	28,2700	Доллар США
1	2000.05.31	28,2500	Доллар США
1	2000.06.01	28,2300	Доллар США
1	2000.06.02	28,2500	Доллар США
1	2000.06.03	28,3400	Доллар США
1	2000.06.06	28,3400	Доллар США
1	2000.06.07	28,3200	Доллар США
1	2000.06.08	28,3000	Доллар США
1	2000.06.09	28,2700	Доллар США
1	2000.06.10	28,2500	Доллар США
1	2000.06.14	28,4300	Доллар США
1	2000.06.15	28,3300	Доллар США
1	2000.06.16	28,2900	Доллар США
1	2000.06.17	28,2600	Доллар США
1	2000.06.20	28,2400	Доллар США
1	2000.06.21	28,2300	Доллар США
1	2000.06.22	28,2200	Доллар США
1	2000.06.23	28,1900	Доллар США
1	2000.06.24	28,1700	Доллар США
1	2000.06.27	28,1300	Доллар США
1	2000.06.28	28,1100	Доллар США
1	2000.06.29	28,0900	Доллар США
1	2000.06.30	28,0700	Доллар США
1	2000.07.01	28,0500	Доллар США
1	2000.07.04	28,0300	Доллар США
1	2000.07.05	28,0300	Доллар США
1	2000.07.06	28,0300	Доллар США
1	2000.07.07	28,0100	Доллар США
1	2000.07.08	27,9900	Доллар США
1	2000.07.11	27,9700	Доллар США
1	2000.07.12	27,9200	Доллар США
1	2000.07.13	27,9000	Доллар США
1	2000.07.14	27,8700	Доллар США
1	2000.07.15	27,8500	Доллар США
1	2000.07.18	27,8300	Доллар США
1	2000.07.19	27,8100	Доллар США
1	2000.07.20	27,7500	Доллар США
1	2000.07.21	27,6600	Доллар США
1	2000.07.22	27,6400	Доллар США
1	2000.07.25	27,6400	Доллар США
1	2000.07.26	27,6400	Доллар США
1	2000.07.27	27,6400	Доллар США
1	2000.07.28	27,7000	Доллар США
1	2000.07.29	27,8000	Доллар США
1	2000.08.01	27,8200	Доллар США
1	2000.08.02	27,8500	Доллар США
1	2000.08.03	27,8300	Доллар США
1	2000.08.04	27,8000	Доллар США
1	2000.08.05	27,7700	Доллар США
1	2000.08.08	27,7300	Доллар США
1	2000.08.09	27,7300	Доллар США
1	2000.08.10	27,7000	Доллар США
1	2000.08.11	27,7000	Доллар США
